run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,2,True,977,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.1071713319821495,D1-D2,496,1.0,False,0.3585319175439883,0.6273748988348052,1.7206466710725423,6.644236499683789,1.0507506030451492,4,4
2,1002,2,True,974,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.131783366448884,D1-D2,492,1.0,False,0.3521746793687274,0.6225842979373215,1.7142896628830857,6.5490096124541815,1.0502812862776443,4,4
3,1003,2,True,976,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.107437299567341,D1-D2,496,1.0,False,0.3539595004609383,0.6229778759753479,1.7143328273098994,6.575898506266431,1.0507504831852068,4,4
4,1004,2,True,972,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.158600304432835,D1-D2,492,1.0,False,0.3455784127901509,0.6118573798335819,1.6957853614601586,6.53101734991558,1.04996686397583,4,4
5,1005,2,True,966,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.263715046802096,D1-D2,485,1.0,False,0.3302681261008944,0.5915366819500105,1.6916711026189044,6.431351661897426,1.0481629278519753,4,4
6,1006,2,True,977,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.115340892366112,D1-D2,496,1.0,False,0.3552051556708766,0.624650813864425,1.7307765155318888,6.649832287561857,1.0504946266219903,4,4
7,1007,2,True,982,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.079330344786465,D1-D2,485,1.0,False,0.3677896345212189,0.6407579249701517,1.7445574858115513,6.753220041718633,1.0528350640078927,4,4
8,1008,2,True,985,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.044713559834514,D1-D2,491,1.0,False,0.37395752072392824,0.6507518233689397,1.7672281238255998,6.786464783783429,1.0532375661427757,4,4
9,1009,2,True,968,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.215153184439312,D1-D2,488,1.0,False,0.33653457244608037,0.6016553181145838,1.7228960420378847,6.517035001869439,1.0492524881834115,4,4
10,1010,2,True,972,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.155143787102679,D1-D2,492,1.0,False,0.3490247272010771,0.6173667659006215,1.7256234549055463,6.544130747808125,1.050213863018385,4,4
11,1011,2,True,975,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.115271581271027,D1-D2,493,1.0,False,0.35243334659144887,0.6207548102677654,1.7137588230102136,6.5609281298882385,1.0503854513964554,4,4
12,1012,2,True,979,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.095596666900555,D1-D2,498,1.0,False,0.36154831318567887,0.634441452780011,1.760158784348142,6.6486252859790245,1.0513736513615286,4,4
13,1013,2,True,979,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.099649686701539,D1-D2,501,1.0,False,0.36049846511260125,0.6321046937943525,1.7319850361161717,6.625864616283128,1.0514457837716817,4,4
14,1014,2,True,966,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.245386367108052,D1-D2,487,1.0,False,0.33310646116777315,0.5956083877512945,1.6975170745520942,6.424196768171487,1.0484120308316742,4,4
15,1015,2,True,969,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.216114370288296,D1-D2,487,1.0,False,0.3372305393814591,0.6002519786344854,1.6863979011936654,6.476649825156321,1.0489097952147528,4,4
16,1016,2,True,980,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.090464405400672,D1-D2,498,1.0,False,0.362400561852513,0.6337235883528448,1.7287272533822047,6.689908792971361,1.0524455244343127,4,4
17,1017,2,True,978,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.0900899566339515,D1-D2,497,1.0,False,0.3566667780450379,0.6260742613911181,1.7446313252709902,6.6754732753104,1.0515962067488285,4,4
18,1018,2,True,971,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.7966106163555797,D1-D2,505,1.0,False,0.2910646426207124,0.5054718678625836,1.3692943381151248,5.207778793729584,1.0480963032199297,4,4
19,1019,2,True,969,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.9641169847085678,D1-D2,505,1.0,False,0.2879033907521979,0.5072946389131218,1.422387470190341,5.427043527953159,1.048711776228417,4,4
20,1020,2,True,972,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.1657657259359056,D1-D2,490,1.0,False,0.3458974894284182,0.6123002185739082,1.6958442859955514,6.539191781570435,1.050204379521659,4,4
21,1021,2,True,969,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.2125253906369675,D1-D2,488,1.0,False,0.33880396819962644,0.6038432359250336,1.6828672691850457,6.4510221597714095,1.0490966180215677,4,4
