run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,6,True,844,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.608193330726731,D1-D4,458,1.0,False,1.4447893228592357,2.287460123019498,5.6843592967024925,6.934216574575775,1.2075299616592947,4,4
2,1002,6,True,901,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.1171762513319723,D1-D4,503,1.0,False,1.695601775409755,2.631705059824975,5.972455031356507,7.962626771375487,1.246486580319386,4,4
3,1003,6,True,868,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,3.079701835547577,D2-D4,427,1.0,False,1.2123969777721955,1.9370013487278497,4.510238984061968,5.548986911731696,1.2293936580640183,4,4
4,1004,6,True,847,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.5608920559926216,D1-D4,456,1.0,False,1.4221416898306494,2.2494070025611723,5.490390975515924,6.7786282919674745,1.2020068124775427,4,4
5,1005,6,True,876,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.021273247925516,D2-D4,402,1.0,False,1.3175969741643203,2.126776843079306,5.11269430542637,7.211059409411387,1.217945918821905,4,4
6,1006,6,True,865,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.128840886567458,D1-D3,394,1.0,False,1.30296938068602,2.1079186627291433,4.963022421679039,6.928704644513916,1.2073092496263107,4,4
7,1007,6,True,879,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,3.326169614110664,D1-D3,426,1.0,False,1.244081310274249,2.0365539566601596,5.0610484547935926,7.413066707371517,1.2182384817918845,4,4
8,1008,6,True,831,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.7426450853361315,D2-D4,418,1.0,False,1.43357951199679,2.308472244209364,5.768652028054831,7.113696239144077,1.2031235037911894,4,4
9,1009,6,True,885,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.6912359296878434,D1-D3,430,1.0,False,1.186576600130142,1.9036545639313232,4.5315515747355395,5.447465236944575,1.23566144254983,4,4
10,1010,6,True,859,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,3.4187922088687155,D2-D4,421,1.0,False,1.2626823522410033,2.034338887652338,4.916062772306427,6.6746567202454505,1.2123655805540565,4,4
11,1011,6,True,876,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.134390260270171,D1-D3,397,1.0,False,1.274179977530697,2.077814508054244,4.976776305209583,7.036002534930072,1.2132349387486476,4,4
12,1012,6,True,869,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.257281759367529,D1-D3,394,1.0,False,1.3076390612855189,2.1144806961135427,5.005438959068648,7.050980602410898,1.2063366347144318,4,4
13,1013,6,True,867,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.9799459758169924,D1-D3,429,1.0,False,1.2201296768236216,1.9446937043415526,4.5243272047582614,5.336327299509579,1.232682475656909,4,4
14,1014,6,True,862,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.143263096180316,D1-D3,395,1.0,False,1.3124092100583482,2.116016846291439,5.004585934447064,6.982089418001764,1.2042043229717425,4,4
15,1015,6,True,888,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.6542901352631327,D1-D3,427,1.0,False,1.160001681152606,1.8727336781071995,4.496682099958884,5.547157616216825,1.2330182334722548,4,4
16,1016,6,True,843,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.6202813763260036,D1-D4,446,1.0,False,1.414024529819248,2.2265843118047424,5.040469414565902,5.969212412361809,1.2005652119909183,4,4
