run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.572138257945953,D1-D2,431,1.0,False,0.6212555557250465,1.333619431868637,3.9269566383659624,3.9495952720958547,1.073565873846246,2,2
2,1002,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.704923806971704,D1-D2,429,1.0,False,0.6299864800643153,1.349835439478238,3.893917499223316,3.954193740204151,1.072485310503043,2,2
3,1003,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.45354101408339,D1-D2,433,1.0,False,0.6165104948387072,1.3255813784272603,3.8868524616120674,3.920799741340194,1.0745142420339282,2,2
4,1004,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.739635543414992,D1-D2,428,1.0,False,0.6285037966080202,1.3516141572565514,3.9459103750306905,4.003143874666423,1.0732690167103545,2,2
5,1005,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.6122080609896186,D1-D2,431,1.0,False,0.6179359060661869,1.3290839036054298,3.8846028422032894,3.906173599924714,1.0736746149174623,2,2
6,1006,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.714818645391089,D1-D2,429,1.0,False,0.6266131935337143,1.338767761223514,3.858109215171714,3.907773132944331,1.0733698605415776,2,2
7,1007,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.8267694482665595,D1-D2,427,1.0,False,0.6347584533965853,1.3568274337302526,3.900088471679491,3.92910926879001,1.0729921739123736,2,2
8,1008,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.533191121201347,D1-D2,432,1.0,False,0.6212605173767105,1.3289232818697854,3.863001188881559,3.9065025980337547,1.0735233696969333,2,2
9,1009,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.24314859408122,D1-D2,437,1.0,False,0.618187359481042,1.3106768347460522,3.884679693328721,3.9300026530213756,1.0747498204137564,2,2
10,1010,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.502979654950759,D1-D2,432,1.0,False,0.6221915257133963,1.3325281740409274,3.9321344290958953,3.966029554096775,1.0733495732779263,2,2
11,1011,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.759825900013765,D1-D2,428,1.0,False,0.6264966301053254,1.344741387457911,3.8634044618949037,3.8839436452168385,1.0720815118262452,2,2
12,1012,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.156906896622979,D1-D2,421,1.0,False,0.6615442109109826,1.3811857680227786,3.8900668556504443,3.917136654824501,1.0721810339595585,2,2
13,1013,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.420341354833859,D1-D2,434,1.0,False,0.6170838271903176,1.3261126075943968,3.9054704495142585,3.926055126579554,1.0728081765855944,2,2
14,1014,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.5769575762629655,D1-D2,431,1.0,False,0.6168211742321362,1.3302376513546792,3.91603191077392,3.9741874967312776,1.0733950188492383,2,2
15,1015,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.577653396391734,D1-D2,431,1.0,False,0.6275380164537815,1.3421825757028358,3.902487191673207,3.9299661867882545,1.0740314830279436,2,2
16,1016,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.495998115346919,D1-D2,433,1.0,False,0.6232727398129341,1.32893351999057,3.918864803958554,4.0184703557570725,1.074684288431957,2,2
17,1017,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.5482565728796835,D1-D2,432,1.0,False,0.6135360515566041,1.3264470498271534,3.935362713121072,3.9767531900592163,1.073556085359003,2,2
18,1018,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.129453470060326,D1-D2,439,1.0,False,0.6211623147212051,1.313487126894516,3.914972268869877,3.947535094795158,1.0755054579919525,2,2
19,1019,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.223469270772245,D1-D2,437,1.0,False,0.6209868875189106,1.3191925867091254,3.946625673335446,3.9692909930987748,1.0753551080472858,2,2
20,1020,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.693828935276772,D1-D2,429,1.0,False,0.6234713874730158,1.340322675441638,3.8990122800251714,3.947759077573616,1.0733028112883696,2,2
21,1021,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.676779347746503,D1-D2,430,1.0,False,0.625818469612737,1.3436419878355395,3.9084976895938146,3.9265136917023566,1.073301585985924,2,2
22,1022,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.937876872982816,D1-D2,425,1.0,False,0.6407844787713155,1.3588485261307364,3.838287176484953,3.854450837761372,1.073055423591834,2,2
23,1023,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.720901360294805,D1-D2,429,1.0,False,0.6286951081854704,1.3485197320337972,3.883663752388642,4.005312486321922,1.0724894151738056,2,2
24,1024,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.910181056020087,D1-D2,426,1.0,False,0.6391359400507819,1.359065997951783,3.8856918817599446,3.912534853064918,1.0724368315906339,2,2
25,1025,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.846552606548168,D1-D2,427,1.0,False,0.6334899936799114,1.3531594013818942,3.9563121094143474,4.032817163596247,1.0728524498254337,2,2
26,1026,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.875453799744225,D1-D2,426,1.0,False,0.6370654789668664,1.3593621505804903,3.9134973019666486,3.9455275240114145,1.071955462582515,2,2
27,1027,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.297627525231025,D1-D2,436,1.0,False,0.6163808503749897,1.3159216723139724,3.88136568361095,3.8882199598459333,1.0740409591323943,2,2
28,1028,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.809246326935743,D1-D2,427,1.0,False,0.6318245701481702,1.352072986763249,3.9366720230579357,4.0763350460839956,1.0724872241068564,2,2
29,1029,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.725204181636162,D1-D2,429,1.0,False,0.6229674563273719,1.338719794618808,3.8868141873288007,3.916285839694682,1.0726283990008585,2,2
30,1030,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.065071279194974,D1-D2,423,1.0,False,0.6533217298493892,1.3714216262539183,3.88443102613225,3.9286029234368525,1.0721304586516698,2,2
31,1031,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.59717305429794,D1-D2,431,1.0,False,0.6251836140577711,1.3366996443587977,3.873134220530521,3.8741033604141717,1.0730842243643441,2,2
32,1032,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.897165020957271,D1-D2,426,1.0,False,0.6358171879316119,1.3536746310134773,3.8549893681279674,3.913064419037009,1.0728465011904675,2,2
33,1033,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.678889505988324,D1-D2,430,1.0,False,0.6340120218309169,1.3546153031526782,3.9446195550855894,3.9795654772856914,1.073769575797562,2,2
34,1034,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.309310231973462,D1-D2,436,1.0,False,0.6162796107458814,1.3120997990763636,3.8955143674684876,3.9712963222787794,1.0740011135061116,2,2
35,1035,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.757506389035041,D1-D2,428,1.0,False,0.6281152332368223,1.3468373081480909,3.889522134120684,3.92598616447354,1.0731836095294724,2,2
36,1036,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.0889021352584205,D1-D2,422,1.0,False,0.657047620103114,1.3720354439856228,3.8581498583999094,3.8832359564357377,1.0725851649102909,2,2
37,1037,4,True,937,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.374340417346141,D1-D2,435,1.0,False,0.6161490804013663,1.3195204613688798,3.922367100353293,4.007432478843778,1.074241962701556,2,2
38,1038,4,True,936,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.625658099429223,D1-D2,430,1.0,False,0.6231597829273331,1.3335042636861294,3.8921244254558482,3.93369133323433,1.0734052260905615,2,2
