run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,4,True,1080,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4272763131759416,D1-D2,606,1.0,False,2.2314623004231815,3.4931125916580106,8.580027199891116,8.896780066882652,1.1399285316435237,2,2
2,1002,4,True,1082,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.426722004382954,D1-D2,609,1.0,False,2.244574906148317,3.5111894253588374,8.593511596075317,8.907173479884555,1.1418802805963617,2,2
3,1003,4,True,1082,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4266670668957824,D1-D2,610,1.0,False,2.2424372943368893,3.50889269398893,8.601710788359732,8.918252719763169,1.141524519392909,2,2
4,1004,4,True,1080,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.426466540749423,D1-D2,613,1.0,False,2.220139771509511,3.4777929600036837,8.548340910926239,8.866786317693142,1.1391710581189445,2,2
5,1005,4,True,1081,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4260428988721046,D1-D2,610,1.0,False,2.2280478661317544,3.489861074702639,8.568586475667065,8.885239536273835,1.140050393658358,2,2
6,1006,4,True,1080,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4262972785314236,D1-D2,609,1.0,False,2.215301177591998,3.4718228352995277,8.54336927278841,8.865789743474854,1.1388746054669796,2,2
7,1007,4,True,1088,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.426232084912561,D1-D2,609,1.0,False,2.2900905482460514,3.5744143105375836,8.666599721235649,8.97511650842956,1.1482866689612856,2,2
8,1008,4,True,1080,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4267993988063146,D1-D2,615,1.0,False,2.2236975314463407,3.4828212312599254,8.562928389179762,8.883114883006252,1.1394904728727435,2,2
9,1009,4,True,1079,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4281320133559747,D1-D2,608,1.0,False,2.2228153816883287,3.481432194721733,8.573311837553955,8.892274140230178,1.1386179724827756,2,2
10,1010,4,True,1079,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4272280041890055,D1-D2,611,1.0,False,2.2161621698562413,3.471890189182341,8.545992238547075,8.866766171928267,1.138585112031878,2,2
11,1011,4,True,1079,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.426724963464053,D1-D2,616,1.0,False,2.2133971470481573,3.4687388089790425,8.545619061637236,8.866222611983131,1.1380577127186076,2,2
12,1012,4,True,1078,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.427436846102833,D1-D2,615,1.0,False,2.2075619945191756,3.45970420533231,8.52749053144887,8.848600508472641,1.1376645363508422,2,2
13,1013,4,True,1081,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4252375003363436,D1-D2,610,1.0,False,2.238256219764717,3.5026152720281285,8.592143233959709,8.907013077143258,1.1406958245999665,2,2
14,1014,4,True,1081,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4273487825554385,D1-D2,611,1.0,False,2.2359092123270123,3.5009247885870227,8.604070701983208,8.925809107327398,1.1403552564376216,2,2
15,1015,4,True,1083,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.427381565004899,D1-D2,610,1.0,False,2.251614095162229,3.5223633804624215,8.621202896903943,8.93198695445302,1.142519070520967,2,2
16,1016,4,True,1089,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4272525274291925,D1-D2,610,1.0,False,2.297397561411899,3.5848661299491313,8.68276801521309,8.98844909246739,1.1490501385284286,2,2
17,1017,4,True,1079,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4270367465980076,D1-D2,616,1.0,False,2.2197334029105797,3.4769218244758133,8.554743659485407,8.87252041901825,1.1387780312642164,2,2
18,1018,4,True,1080,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4277545177673003,D1-D2,611,1.0,False,2.2235484207903804,3.482886465716919,8.56598900270147,8.882861935333294,1.1393030689706127,2,2
19,1019,4,True,1081,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,2.4262482963110408,D1-D2,611,1.0,False,2.2316923754606672,3.4944758889629353,8.571391652844433,8.888746673882576,1.140198146806516,2,2
