method,x,runs,runs_completed,completion_rate_percent,completion_ci_low,completion_ci_high,uav_completion_rate_percent,collision_rate_percent,collision_ci_high,dcrit_violation_rate_percent,success_rate_percent,success_ci_low,worst_dmin_all_m,worst_dmin_completed_m,mean_dmin_all_m,mean_dmin_completed_m,ci95_dmin_completed_m,margin_to_dcrit_m,mean_elongation_completed,ci95_elongation_completed,max_elongation_completed,mean_lateral_error_completed_m,ci95_lateral_error_completed_m,max_lateral_error_completed_m,mean_lateral_rmse_completed_m,ci95_lateral_rmse_completed_m,max_lateral_rmse_completed_m,mean_max_path_deviation_completed_m,ci95_max_path_deviation_completed_m,mean_mission_time_completed_s,ci95_mission_time_completed_s,worst_mission_time_completed_s,mean_information_age_s,max_information_age_s,dmin_drop_m,dmin_drop_ci_low_m,dmin_drop_ci_high_m,degradacao,comparavel
apf,0.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.181909644612524,4.181909644612524,5.012860729842567,5.012860729842567,0.06024142105738486,1.0128607298425667,1.4406853447994155,0.015371401748654904,1.706408724460233,3.9420463709279305,0.06291429235255873,4.496655861147507,5.110118788495456,0.049231707505768135,5.512405417395513,8.68764471802826,0.05242097984734758,150.67499999999998,3.2454273769732005,192.75,0.0,0.0,0.0,-0.08467043871587623,0.08467043871587623,não,True
orca_nd08,0.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,3.9998968866906934,3.9998968866906934,3.9999966541456207,3.9999966541456207,2.786393785616117e-06,-3.345854379332991e-06,1.0876656621712144,0.0031999573705764075,1.1306608905435005,1.534043884508909,0.03373767692030492,2.1231435820953233,1.902231157479166,0.024714575027778907,2.465701033222826,3.8243033426398574,0.053270066104840086,258.99899999999997,17.43503159194885,594.0,0.0,0.0,0.0,-3.916328335591052e-06,3.916328335591052e-06,não,True
orca_nd18,0.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,3.9999985791058,3.9999985791058,3.999999383133701,3.999999383133701,8.595159354414136e-08,-6.168662989303186e-07,1.0523860983901259,0.0023485115928706204,1.0881558943477303,1.6373647369021558,0.058897088099661855,2.2856873520430985,2.015100116902948,0.04329458857818253,2.530712841741734,3.816260101718509,0.03753583302255658,236.505,23.480909087781086,695.4,0.0,0.0,0.0,-1.208065647518284e-07,1.208065647518284e-07,não,True
orca_nd26,0.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,3.999998531454398,3.999998531454398,3.999999768909947,3.999999768909947,7.82113187145811e-08,-2.3109005287125228e-07,1.0332610975123875,0.0013270020681736717,1.0546572128989213,1.4285604571436326,0.03326820280811219,1.9016592569885564,1.830642221941114,0.02917638825335687,2.2458676417226338,3.640934223930082,0.03262258539671601,151.87199999999999,7.740629459069504,279.15,0.0,0.0,0.0,-1.0992746439036738e-07,1.0992746439036738e-07,não,True
apf,10.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.223196476956839,4.223196476956839,4.998261855384007,4.998261855384007,0.06503053724702115,0.9982618553840066,1.439480584865637,0.014226941271421614,1.686181091149513,3.9914110505395453,0.06007018950852685,4.557423571846419,5.151618495096459,0.04810439175587526,5.548664873035247,8.74011273933149,0.05520068761865675,149.1705,3.2143742699458535,201.9,0.016611602947209626,0.8999999999999999,0.014598874458560118,-0.07350462760846818,0.10270237652558842,não,True
orca_nd08,10.0,100,25,25.0,17.54509400372426,34.30464637007583,25.0,0.0,3.699480747600191,0.0,25.0,17.54509400372426,3.9912910573910794,3.9912910573910794,3.998286275791502,3.99577555206229,0.0005982692999217255,-0.004224447937709819,1.0761064349617269,0.004550527075151741,1.1020604355855,1.475551047793305,0.05779559059929409,1.863129749964567,1.955973614214616,0.04878035800650611,2.229450084531167,3.8494571293367636,0.055588926219464804,177.828,13.926431250869006,283.05,0.016645978321427196,1.2,0.004221102083330486,0.0036228272491214525,0.0048193769175395185,mínima,False
orca_nd18,10.0,100,56,56.00000000000001,46.227927711256314,65.32813459903167,56.1,0.0,3.699480747600191,0.0,56.00000000000001,46.227927711256314,3.991684941399778,3.991684941399778,3.997782640096665,3.996077962677906,0.0003665553747358038,-0.003922037322094063,1.0483136883454747,0.003703193701237379,1.0940411042905918,1.3817156765431717,0.046419649106886035,1.9599860506823568,1.8390930980635256,0.03192849960232812,2.2633779925038766,3.782108826841575,0.05107129404801185,178.81875,32.25397328975704,620.25,0.016632526068651107,1.05,0.003921420455795133,0.0035548650717039817,0.004287975839886284,mínima,True
orca_nd26,10.0,100,90,90.0,82.56326956323346,94.4771458386864,90.0,0.0,3.699480747600191,0.0,90.0,82.56326956323346,3.991468031597295,3.991468031597295,3.996335881537019,3.995934308967178,0.0003114912999923518,-0.004065691032821839,1.03861324673673,0.002543379270799645,1.0800925314783831,1.4497496649614645,0.04564457110702791,2.1297988288584087,1.852986102600793,0.03758760033723994,2.4494452864010565,3.655947123769691,0.03462114963179607,164.47666666666666,13.74323851274557,514.8,0.01662032439483186,0.8999999999999999,0.0040654599427689675,0.0037539686334730356,0.004376951252064899,mínima,True
apf,20.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.136468245145483,4.136468245145483,4.962423339161935,4.962423339161935,0.06607440249193522,0.9624233391619352,1.451399154922395,0.014740174486778033,1.6502948801604578,3.9329542629136944,0.0580229476066178,4.520834569431147,5.10564148333292,0.0462955151861255,5.534264923959095,8.66971411510604,0.05094839501681675,152.43449999999999,3.3092644590535434,197.85,0.037413806212652084,1.3499999999999999,0.050437390680631466,-0.03843146641340407,0.139306247774667,não,True
orca_nd08,20.0,100,24,24.0,16.691211265459966,33.23251872329213,24.0,0.0,3.699480747600191,0.0,24.0,16.691211265459966,3.990578517972763,3.990578517972763,3.99811052226442,3.996074560808581,0.0006647765761935398,-0.003925439191418967,1.0792009218808836,0.0037147063572741303,1.099365942353989,1.4293902934739302,0.05024987734276106,1.8115097343021531,1.8728297858928329,0.04017899697551959,2.063124136510511,3.767786393308201,0.06803272778886073,214.025,19.881582829234482,388.5,0.03746934580226881,1.5,0.003922093337039634,0.003257311818549221,0.0045868748555300464,mínima,False
