run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
2,1002,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
3,1003,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
4,1004,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
5,1005,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
6,1006,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
7,1007,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
8,1008,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
9,1009,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
10,1010,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
11,1011,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
12,1012,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
13,1013,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
14,1014,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
15,1015,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
16,1016,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
17,1017,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
18,1018,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
19,1019,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
20,1020,4,True,935,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.014142135624031469,D1-D2,476,1.0,True,5.359850739877058e-18,3.8235960131185005e-17,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999997,2,2
