scenario,total_uavs,uavs_in_metrics,executed_frames,min_inter_uav_distance_m,closest_uav_pair,collision_threshold_m,collision_detected,collisions_out_of_20_runs,mean_lateral_error_m,mean_trajectory_elongation_index,results_folder
1,4,3,935,10.000004999998751,D1-D4,1.0,False,0,5.359850739877058e-18,0.9999999999999997,20260521_112722_exp_1_20_runs
2,4,4,935,0.014142135624031469,D1-D2,1.0,True,20,5.58225118551511e-18,0.9999999999999998,20260521_112743_exp_2_20_runs
3,3,2,935,10.000004999998751,D1-D2,1.0,False,0,5.804651631153162e-18,0.9999999999999998,20260521_112802_exp_3_20_runs
4,2,2,935,0.014142135624031469,D1-D2,1.0,True,20,5.359850739877058e-18,0.9999999999999997,20260521_112819_exp_4_20_runs
5,4,4,744,0.003535533905840199,D1-D4,1.0,True,20,9.3791492097145e-18,1.0000000000000044,20260521_112834_exp_5_20_runs
6,4,4,744,0.003535533905840199,D1-D4,1.0,True,20,9.379149209714572e-18,1.0000000000000044,20260521_112852_exp_6_20_runs
7,10,10,744,0.0015450849718218916,D1-D10,1.0,True,20,9.253270543304816e-15,0.9999999999999988,20260521_112911_exp_7_20_runs
8,10,10,744,0.0015450849718218916,D1-D10,1.0,True,20,9.253270543304816e-15,0.9999999999999988,20260521_112943_exp_8_20_runs
9,2,2,2154,2.1693231701755225,D1-D2,1.0,False,0,0.8868334016158593,1.01173217624296,20260521_113014_exp_9_20_runs
10,3,3,2152,3.0082080190078906,D1-D2,1.0,False,0,0.9356743291114028,1.0138333010670502,20260521_113111_exp_10_20_runs
