run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,5,True,941,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.308934078226939,D1-D3,343,1.0,False,1.6994978943997294,2.6338291459470606,5.984602590505709,9.103661891917003,1.2599115548179642,4,4
2,1002,5,True,824,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.166483781964613,D1-D3,349,1.0,False,1.6071266024445416,2.4864321707687465,5.820221467284125,8.886395013170576,1.1901358417125283,4,4
3,1003,5,True,809,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.345729291464298,D1-D3,344,1.0,False,1.5631393139170426,2.37436590643588,5.418284461772435,7.145863124897435,1.1872691505239863,4,4
4,1004,5,True,812,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.23563954964917,D1-D3,347,1.0,False,1.583951869772266,2.4269855562866454,5.59872343207493,7.542328417051419,1.1866841707935392,4,4
5,1005,5,True,871,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.369339468305572,D1-D3,341,1.0,False,1.6577027498223362,2.5472799187778556,5.642335196205223,8.015188901915407,1.2306895815451233,4,4
6,1006,5,True,812,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.373394294508071,D1-D3,341,1.0,False,1.7231588490448528,2.6160341770508624,6.003548855559793,8.392089180778347,1.1940731601493126,4,4
7,1007,5,True,814,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.270548755115382,D1-D3,349,1.0,False,1.6520802808930866,2.5361017570690807,5.919467955128513,8.763944836841851,1.188540917788799,4,4
8,1008,5,True,829,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.165279301417767,D1-D3,352,1.0,False,1.6133074665703488,2.5095291375085838,5.896925939405911,8.955693449276538,1.1918476816499128,4,4
9,1009,5,True,876,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.2697913299324695,D1-D3,347,1.0,False,1.632463346070913,2.5286415881313866,5.720966452137006,8.179587861913042,1.232756665792391,4,4
10,1010,5,True,814,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.20088233428152,D1-D3,348,1.0,False,1.6217017584023572,2.494663269586126,5.841634481667138,8.754298311344083,1.1863007333093678,4,4
11,1011,5,True,812,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.337889281421718,D1-D3,341,1.0,False,1.7223885792109472,2.614390694058396,6.036212597960556,8.39673316538778,1.194189092540415,4,4
12,1012,5,True,811,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.360017019352349,D1-D3,341,1.0,False,1.6841868052141273,2.556675060191566,5.811329809343459,8.235824626672617,1.192499756020709,4,4
13,1013,5,True,815,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.16491388587659,D1-D3,349,1.0,False,1.6126336527069498,2.488967297740346,5.838489007733305,8.82607149478048,1.186165572392589,4,4
14,1014,5,True,815,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.226784430198726,D1-D3,347,1.0,False,1.650302133934038,2.533303678787577,5.902175746946296,8.73228141521897,1.189178351134647,4,4
15,1015,5,True,823,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.302375146339669,D1-D3,343,1.0,False,1.672936829880058,2.5561699165817062,5.94324429080567,8.695319355720835,1.196920198962508,4,4
