metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,4.505164856375214,0.5110064893026652,0.2611276321094349,4.315862247531769,4.02089494696772,6.0085864097639385
mean_lateral_error_m,2.4952414147081043,0.13504880884895554,0.01823818077152173,2.476816102693172,2.269371129163796,2.790235893634004
mean_lateral_rmse_m,3.2533825325786374,0.11325469221748152,0.012826625309276469,3.2340534024233865,3.058940548391832,3.495177702206785
mean_maximum_path_deviation_m,5.926831905236042,0.23095249040878266,0.05333905282601884,5.92226044004998,5.592211525349636,6.4745335295526125
maximum_path_deviation_m,7.863752114783081,0.6580602037261069,0.4330432317280453,7.816539610043195,7.070555780571726,9.488120011171818
mean_trajectory_elongation_index,1.289090451592785,0.015874027233397373,0.00025198474060664146,1.285073543158105,1.262661724452225,1.3436246353794845
total_uavs,4.0,0.0,0.0,4.0,4.0,4.0
uavs_considered_in_metrics,4.0,0.0,0.0,4.0,4.0,4.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
