run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,conflict_waypoint_visitation_radius_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,emergency_shares_full_route,communication_period_steps,communication_period_s,communication_frequency_hz,communication_delay_steps,communication_delay_s,configured_packet_loss_probability,transmitted_packets,application_payload_total_bytes,mean_packet_payload_bytes,maximum_packet_payload_bytes,aggregate_application_bandwidth_kbps,mean_uav_application_bandwidth_kbps,maximum_uav_application_bandwidth_kbps,receiver_delivery_attempts,receiver_dropped_packets,receiver_delivered_packets,observed_receiver_packet_loss_ratio,mean_information_age_s,maximum_information_age_s,localization_sigma_xy_m,localization_sigma_z_m,mean_rms_acceleration_m_s2,mean_conflict_rms_acceleration_m_s2,theoretical_max_speed_m_s,maximum_observed_speed_m_s,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,2,True,1003,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4012,358284,89.30309072781655,273,19.051326021934198,4.7628315054835495,7.32666001994018,12036,0,12036,0.0,0.0,0.0,0.0,0.0,0.5909088711714751,1.9039219819417128,0.4301162633521313,0.4301162633521314,6.029839672126966,D1-D2,473,1.0,False,0.6924002224390116,1.2389624386293736,3.232432246247546,6.8944699298422085,1.0813926280414976,4,4
2,1002,2,True,1011,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4044,359760,88.96142433234421,273,18.9784371909001,4.744609297725025,7.277546983184965,12132,0,12132,0.0,0.0,0.0,0.0,0.0,0.6175229903119118,1.9990415034834896,0.4301162633521313,0.4301162633521314,5.939840995817418,D1-D2,476,1.0,False,0.667846611806789,1.1944757154637375,3.145552217056661,6.896257371394384,1.0850468332463965,4,4
3,1003,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358320,89.13432835820896,273,19.015323383084578,4.7538308457711445,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.5803157648516668,1.875415567931788,0.4301162633521313,0.4301162633521314,5.999234208374663,D1-D2,474,1.0,False,0.6834552348373295,1.2223857175884483,3.220620014481016,6.93254809563053,1.0806492376120425,4,4
4,1004,2,True,1006,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4024,358788,89.16202783300199,273,19.021232604373754,4.755308151093439,7.308151093439363,12072,0,12072,0.0,0.0,0.0,0.0,0.0,0.6022616357922477,1.950564007813925,0.4301162633521313,0.4301162633521314,5.990018132476093,D1-D2,474,1.0,False,0.6820917460658298,1.2183192794370954,3.193422902113271,6.89850163165661,1.082581912783973,4,4
5,1005,2,True,1013,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4052,359784,88.79170779861796,273,18.9422309970385,4.735557749259625,7.265389930898323,12156,0,12156,0.0,0.0,0.0,0.0,0.0,0.603548616345916,1.9347961613154445,0.4301162633521313,0.4301162633521314,6.018646532335867,D1-D2,473,1.0,False,0.6843524917984645,1.228804496418118,3.22400875411024,6.906801104062845,1.084460830684253,4,4
6,1006,2,True,1008,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4032,359172,89.08035714285714,273,19.003809523809526,4.7509523809523815,7.295873015873017,12096,0,12096,0.0,0.0,0.0,0.0,0.0,0.6105901312779443,1.9672305595591668,0.4301162633521313,0.4301162633521314,6.013358229070012,D1-D2,474,1.0,False,0.6840941524392259,1.2236567795201907,3.2039886678060556,6.883960623078722,1.083852897510009,4,4
7,1007,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358272,89.12238805970149,273,19.012776119402986,4.7531940298507465,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.5897883447429689,1.9171378463405633,0.4301162633521313,0.4301162633521314,5.993470561857643,D1-D2,474,1.0,False,0.6824777023474218,1.2205752667321412,3.1982468666049533,6.901431506487605,1.0805025593084205,4,4
8,1008,2,True,1007,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4028,359076,89.1449851042701,273,19.017596822244293,4.754399205561073,7.302005958291957,12084,0,12084,0.0,0.0,0.0,0.0,0.0,0.6129072367469113,1.9842941895834918,0.4301162633521313,0.4301162633521314,5.9832827052603355,D1-D2,475,1.0,False,0.6795801625249625,1.2150186533193077,3.181034809514675,6.907778447629627,1.0835289263790453,4,4
9,1009,2,True,1010,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4040,359544,88.9960396039604,273,18.985821782178217,4.746455445544554,7.283643564356436,12120,0,12120,0.0,0.0,0.0,0.0,0.0,0.6094720309610858,1.9686724218815161,0.4301162633521313,0.4301162633521314,5.956204522205952,D1-D2,475,1.0,False,0.6698404753893739,1.1986490815729502,3.160493888340225,6.878271434340518,1.0843576859168396,4,4
10,1010,2,True,1008,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4032,359076,89.05654761904762,273,18.998730158730158,4.74968253968254,7.295873015873017,12096,0,12096,0.0,0.0,0.0,0.0,0.0,0.6100445257970375,1.9759213576969807,0.4301162633521313,0.4301162633521314,5.973848773813659,D1-D2,475,1.0,False,0.6766222902967387,1.2079043479502114,3.165355880793076,6.906520560178384,1.0832764128652064,4,4
11,1011,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358440,89.16417910447761,273,19.021691542288558,4.755422885572139,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.6006944466503685,1.9479848574001468,0.4301162633521313,0.4301162633521314,5.988352532623725,D1-D2,474,1.0,False,0.6835640444739417,1.2213561535981885,3.201484475299443,6.907613107487785,1.0813080386660578,4,4
12,1012,2,True,1006,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4024,358956,89.2037773359841,273,19.03013916500994,4.757534791252485,7.308151093439363,12072,0,12072,0.0,0.0,0.0,0.0,0.0,0.6038923995473083,1.9488792510982034,0.4301162633521313,0.4301162633521314,5.98165987687309,D1-D2,474,1.0,False,0.6789243562211948,1.2156105824579624,3.194089437587934,6.902306882530182,1.0829432546694808,4,4
13,1013,2,True,1011,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4044,359160,88.81305637982196,273,18.946785361028684,4.73669634025717,7.277546983184965,12132,0,12132,0.0,0.0,0.0,0.0,0.0,0.587268580338792,1.9145277594297276,0.4301162633521313,0.4301162633521314,5.936550469878544,D1-D2,476,1.0,False,0.6670512710175898,1.1927666992331536,3.1594969105319346,6.91159430691752,1.0814658795356729,4,4
14,1014,2,True,1009,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4036,359100,88.97423191278493,273,18.98116947472745,4.745292368681864,7.289752229930625,12108,0,12108,0.0,0.0,0.0,0.0,0.0,0.6038718126421092,1.9621582187309683,0.4301162633521313,0.4301162633521314,5.9523326948545,D1-D2,475,1.0,False,0.674661123039772,1.2055254374614854,3.1746671246680496,6.913576259817431,1.0823930973505715,4,4
15,1015,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358308,89.13134328358208,273,19.01468656716418,4.753671641791045,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.5888923580458415,1.9088617523720295,0.4301162633521313,0.4301162633521314,5.991417410118647,D1-D2,474,1.0,False,0.6837822353489224,1.2237675489890107,3.2074216565347426,6.928300887602688,1.0805060628921423,4,4
16,1016,2,True,1010,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4040,359268,88.92772277227722,273,18.971247524752474,4.742811881188119,7.283643564356436,12120,0,12120,0.0,0.0,0.0,0.0,0.0,0.6081299019070336,1.9764452445836733,0.4301162633521313,0.4301162633521314,5.948199402178095,D1-D2,475,1.0,False,0.6704019821526399,1.1974953694374961,3.1631253929682366,6.919386161442845,1.0829705709890378,4,4
