metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,4.504558327236957,0.5112536206293027,0.261380264606571,4.304387634273596,4.02089494696772,6.0085864097639385
mean_lateral_error_m,2.489787398248527,0.13484213891349323,0.018182402426765804,2.4710229805691943,2.265654997229732,2.7883832157099304
mean_lateral_rmse_m,3.2518755388217664,0.11306027512790862,0.012782625811998391,3.2315038652633405,3.0580510059421786,3.494723400333651
mean_maximum_path_deviation_m,5.9275744936224495,0.23136133322974115,0.05352806651384332,5.920683602277228,5.592211525349636,6.4745335295526125
maximum_path_deviation_m,7.864994972911055,0.6593191012562929,0.43470167728140585,7.813369250575215,7.070555780571726,9.488120011171818
mean_trajectory_elongation_index,1.2891355621758356,0.01591125700018043,0.00025316809932579077,1.2850833147622867,1.2624242745258445,1.3424143010020673
total_uavs,4.0,0.0,0.0,4.0,4.0,4.0
uavs_considered_in_metrics,4.0,0.0,0.0,4.0,4.0,4.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
